401.5,24906.60025,3.08792,0.24535,0.43996,0.31349,0.45102,0.20651,0.01882,0.32094
402,24875.62189,3.08408,0.24112,0.4382,0.31542,0.45099,0.20342,0.01947,0.3221
402.5,24844.7205,3.08025,0.2359,0.43466,0.31461,0.44975,0.20043,0.01907,0.32222
403,24813.89578,3.07643,0.23017,0.43111,0.31533,0.44884,0.19657,0.01808,0.32209
403.5,24783.14746,3.07261,0.22507,0.42876,0.31542,0.44749,0.19316,0.01794,0.32326
404,24752.47525,3.06881,0.21908,0.42516,0.31548,0.44677,0.189,0.01738,0.32262
404.5,24721.87886,3.06502,0.2138,0.42104,0.31514,0.44527,0.18507,0.01678,0.32312
405,24691.35802,3.06123,0.2089,0.4176,0.31541,0.44417,0.18199,0.01682,0.32345
405.5,24660.91245,3.05746,0.20419,0.41348,0.31508,0.44232,0.17843,0.01551,0.32318
406,24630.54187,3.05369,0.19799,0.40966,0.31474,0.43966,0.17413,0.0145,0.32255
406.5,24600.246,3.04994,0.19356,0.4059,0.31455,0.4391,0.1712,0.01528,0.32301
407,24570.02457,3.04619,0.18854,0.40129,0.31451,0.43723,0.16701,0.01445,0.32259
407.5,24539.8773,3.04245,0.183,0.39699,0.31344,0.43369,0.16295,0.0134,0.32159
408,24509.80392,3.03873,0.17804,0.39283,0.31251,0.43177,0.15953,0.01367,0.32178
408.5,24479.80416,3.03501,0.17284,0.38783,0.31134,0.42942,0.15575,0.01217,0.32062
409,24449.87775,3.0313,0.16886,0.38442,0.31125,0.42727,0.15238,0.01294,0.32045
409.5,24420.02442,3.02759,0.16395,0.37949,0.31015,0.4247,0.14912,0.01194,0.32012
410,24390.2439,3.0239,0.15897,0.37404,0.30863,0.42106,0.14501,0.01076,0.31784
410.5,24360.53593,3.02022,0.15435,0.36989,0.30778,0.41871,0.14126,0.01065,0.31721
411,24330.90024,3.01655,0.15005,0.36517,0.30651,0.41531,0.138,0.01007,0.31691
411.5,24301.33657,3.01288,0.14442,0.35934,0.30506,0.41206,0.13375,0.00897,0.31485
412,24271.84466,3.00922,0.14066,0.35427,0.30409,0.4089,0.13085,0.00887,0.3135
412.5,24242.42424,3.00558,0.13659,0.35045,0.30236,0.40576,0.12765,0.0087,0.31296
413,24213.07506,3.00194,0.13175,0.34451,0.3006,0.40183,0.12332,0.00804,0.31084
413.5,24183.79686,2.99831,0.1278,0.33957,0.29892,0.39872,0.11981,0.00747,0.30977
414,24154.58937,2.99469,0.12402,0.3348,0.29729,0.39513,0.11659,0.00738,0.30831
414.5,24125.45235,2.99107,0.11945,0.32801,0.29551,0.39046,0.11283,0.00676,0.30684
415,24096.38554,2.98747,0.11525,0.323,0.29327,0.38616,0.11,0.00615,0.30425
415.5,24067.38869,2.98387,0.1116,0.31691,0.29099,0.3826,0.10625,0.00541,0.30265
416,24038.46154,2.98029,0.10718,0.31097,0.28885,0.37706,0.10181,0.00482,0.30025
416.5,24009.60384,2.97671,0.10372,0.30605,0.2866,0.37393,0.09965,0.00453,0.29822
417,23980.81535,2.97314,0.0994,0.29922,0.28376,0.36891,0.09677,0.00383,0.29645
417.5,23952.09581,2.96958,0.09583,0.29379,0.28174,0.36427,0.09268,0.00344,0.29429
418,23923.44498,2.96603,0.09241,0.2879,0.27868,0.3597,0.08968,0.00291,0.29182
418.5,23894.8626,2.96249,0.08795,0.28216,0.27604,0.35458,0.08642,0.00238,0.28934
419,23866.34845,2.95895,0.08516,0.27667,0.27393,0.35028,0.08435,0.00195,0.28637
