[nm];[A];norm A
;Probe 1;
597;1,2297;0,92437796
597,5;1,2324;0,926407577
598;1,2351;0,928437195
598,5;1,2377;0,930391641
599;1,2402;0,932270916
599,5;1,2426;0,934075021
600;1,2449;0,935803954
600,5;1,2473;0,937608058
601;1,2496;0,939336992
601,5;1,2521;0,941216267
602;1,2542;0,942794858
602,5;1,2564;0,944448621
603;1,2586;0,946102383
603,5;1,2606;0,947605803
604;1,2628;0,949259566
604,5;1,2649;0,950838157
605;1,2668;0,952266406
605,5;1,2688;0,953769826
606;1,2707;0,955198076
606,5;1,2727;0,956701496
607;1,2745;0,958054574
607,5;1,2762;0,959332481
608;1,2779;0,960610389
608,5;1,2797;0,961963467
609;1,2813;0,963166203
609,5;1,2828;0,964293768
610;1,2845;0,965571676
610,5;1,2861;0,966774412
611;1,2876;0,967901977
611,5;1,289;0,968954371
612;1,2904;0,970006765
612,5;1,2917;0,970983989
613;1,293;0,971961212
613,5;1,2944;0,973013606
614;1,2956;0,973915658
614,5;1,297;0,974968052
615;1,2981;0,975794933
615,5;1,2993;0,976696986
616;1,3005;0,977599038
616,5;1,3016;0,978425919
617;1,3025;0,979102458
617,5;1,3036;0,979929339
618;1,3047;0,98075622
618,5;1,3058;0,981583102
619;1,3068;0,982334812
619,5;1,3078;0,983086522
620;1,3088;0,983838232
620,5;1,3097;0,984514771
621;1,3105;0,985116139
621,5;1,3114;0,985792678
622;1,3121;0,986318875
622,5;1,3131;0,987070586
623;1,3138;0,987596783
623,5;1,3147;0,988273322
624;1,3155;0,98887469
624,5;1,3162;0,989400887
625;1,3169;0,989927084
625,5;1,3174;0,990302939
626;1,3182;0,990904307
626,5;1,3187;0,991280162
627;1,3196;0,991956701
627,5;1,32;0,992257386
628;1,3205;0,992633241
628,5;1,3212;0,993159438
629;1,3216;0,993460122
629,5;1,3221;0,993835977
630;1,3227;0,994287003
630,5;1,3231;0,994587687
631;1,3235;0,994888371
631,5;1,324;0,995264226
632;1,3244;0,99556491
632,5;1,3248;0,995865594
633;1,3253;0,996241449
633,5;1,3258;0,996617304
634;1,326;0,996767646
634,5;1,3264;0,99706833
635;1,3266;0,997218672
635,5;1,327;0,997519357
636;1,3273;0,99774487
636,5;1,3275;0,997895212
637;1,3278;0,998120725
637,5;1,3281;0,998346238
638;1,3284;0,998571751
638,5;1,3284;0,998571751
639;1,3287;0,998797264
639,5;1,329;0,999022777
640;1,3291;0,999097948
640,5;1,3292;0,999173119
641;1,3296;0,999473803
641,5;1,3295;0,999398632
642;1,3297;0,999548974
642,5;1,3298;0,999624145
643;1,33;0,999774487
643,5;1,33;0,999774487
644;1,33;0,999774487
644,5;1,3301;0,999849658
645;1,3303;1
645,5;1,3301;0,999849658
646;1,3302;0,999924829
646,5;1,3301;0,999849658
647;1,3301;0,999849658
647,5;1,3301;0,999849658
648;1,3299;0,999699316
648,5;1,33;0,999774487
649;1,3299;0,999699316
649,5;1,3299;0,999699316
650;1,3298;0,999624145
650,5;1,3296;0,999473803
651;1,3296;0,999473803
651,5;1,3294;0,999323461
652;1,3291;0,999097948
652,5;1,3291;0,999097948
653;1,3287;0,998797264
653,5;1,3285;0,998646922
654;1,3284;0,998571751
654,5;1,3281;0,998346238
655;1,3278;0,998120725
655,5;1,3276;0,997970383
656;1,3273;0,99774487
656,5;1,327;0,997519357
657;1,3267;0,997293843
657,5;1,3262;0,996917988
658;1,3261;0,996842817
658,5;1,3258;0,996617304
659;1,3251;0,996091107
659,5;1,3249;0,995940765
660;1,3245;0,995640081
660,5;1,3241;0,995339397
661;1,3236;0,994963542
661,5;1,3234;0,9948132
662;1,3227;0,994287003
662,5;1,3224;0,99406149
663;1,3218;0,993610464
663,5;1,3213;0,993234609
664;1,3208;0,992858754
664,5;1,3203;0,992482899
665;1,3199;0,992182215
665,5;1,3191;0,991580846
666;1,3186;0,991204991
666,5;1,3182;0,990904307
667;1,3176;0,990453281
667,5;1,3167;0,989776742
668;1,3162;0,989400887
668,5;1,3155;0,98887469
669;1,3147;0,988273322
669,5;1,314;0,987747125
670;1,3134;0,987296099
670,5;1,3126;0,986694731
671;1,3119;0,986168533
671,5;1,3112;0,985642336
672;1,3103;0,984965797
672,5;1,3094;0,984289258
673;1,3088;0,983838232
673,5;1,3079;0,983161693
674;1,3069;0,982409983
674,5;1,3059;0,981658273
675;1,305;0,980981733
675,5;1,3042;0,980380365
676;1,3031;0,979553484
676,5;1,3022;0,978876945
677;1,3011;0,978050064
677,5;1,3002;0,977373525
678;1,2991;0,976546644
678,5;1,2979;0,975644591
679;1,2969;0,974892881
679,5;1,2957;0,973990829
680;1,2945;0,973088777
680,5;1,2935;0,972337067
681;1,2921;0,971284673
681,5;1,291;0,970457791
682;1,2897;0,969480568
682,5;1,2884;0,968503345
683;1,2871;0,967526122
683,5;1,2858;0,966548899
684;1,2844;0,965496505
684,5;1,2828;0,964293768
685;1,2816;0,963391716
685,5;1,2802;0,962339322
686;1,2787;0,961211757
686,5;1,2771;0,960009021
687;1,2757;0,958956626
687,5;1,274;0,957678719
688;1,2727;0,956701496
688,5;1,2711;0,95549876
689;1,2694;0,954220852
689,5;1,2676;0,952867774
690;1,2661;0,951740209
690,5;1,2642;0,95031196
691;1,2625;0,949034052
691,5;1,2607;0,947680974
692;1,2588;0,946252725
692,5;1,257;0,944899647
693;1,2549;0,943321055
693,5;1,2533;0,942118319
694;1,2513;0,940614899
694,5;1,2492;0,939036308
695;1,2472;0,937532887
695,5;1,2451;0,935954296
696;1,243;0,934375705
696,5;1,2408;0,932721942
697;1,2387;0,931143351
697,5;1,2366;0,92956476
698;1,2343;0,927835827
698,5;1,2319;0,926031722
699;1,2297;0,92437796
699,5;1,2274;0,922649027
700;1,2254;0,921145606
700,5;1,2226;0,919040818
701;1,2201;0,917161543
701,5;1,2177;0,915357438
702;1,2153;0,913553334
702,5;1,2128;0,911674058
703;1,2103;0,909794783
703,5;1,2076;0,907765166
704;1,2049;0,905735548
704,5;1,2023;0,903781102
705;1,1996;0,901751485
705,5;1,197;0,899797038
706;1,1942;0,89769225
706,5;1,1914;0,895587461
707;1,1886;0,893482673
707,5;1,1857;0,891302714
708;1,1828;0,889122754
708,5;1,1799;0,886942795
709;1,1768;0,884612493
709,5;1,1738;0,882357363
710;1,1707;0,880027062
710,5;1,1677;0,877771931
711;1,1645;0,875366459
711,5;1,1612;0,872885815
712;1,158;0,870480343
712,5;1,1548;0,86807487
713;1,1514;0,865519056
713,5;1,1482;0,863113583
714;1,1449;0,86063294
714,5;1,1415;0,858077125
715;1,138;0,85544614
715,5;1,1344;0,852739983
716;1,1309;0,850108998
716,5;1,1272;0,84732767
717;1,1236;0,844621514
717,5;1,1197;0,841689844
718;1,1161;0,838983688
718,5;1,1121;0,835976847
719;1,1083;0,833120349
719,5;1,1044;0,830188679
720;1,1006;0,827332181
720,5;1,0965;0,824250169
721;1,0926;0,8213185
721,5;1,0884;0,818161317
722;1,0843;0,815079305
722,5;1,0802;0,811997294
723;1,0761;0,808915282
723,5;1,0719;0,8057581
724;1,0676;0,802525746
724,5;1,0634;0,799368563
725;1,059;0,796061039
725,5;1,0547;0,792828685
726;1,0504;0,789596332
726,5;1,0461;0,786363978
727;1,0417;0,783056453
727,5;1,0375;0,779899271
728;1,033;0,776516575
728,5;1,0286;0,773209051
729;1,0243;0,769976697
729,5;1,0197;0,76651883
730;1,0152;0,763136135
730,5;1,0106;0,759678268
731;1,0059;0,75614523
731,5;1,0013;0,752687364
732;0,9967;0,749229497
732,5;0,9921;0,74577163
733;0,9874;0,742238593
733,5;0,9828;0,738780726
734;0,978;0,735172517
734,5;0,9733;0,73163948
735;0,9685;0,728031271
735,5;0,9636;0,724347891
736;0,9589;0,720814854
736,5;0,9539;0,717056303
737;0,9491;0,713448094
737,5;0,9441;0,709689544
738;0,9392;0,706006164
738,5;0,9342;0,702247613
739;0,9293;0,698564234
739,5;0,9244;0,694880854
740;0,9194;0,691122303
740,5;0,9145;0,687438924
741;0,9095;0,683680373
741,5;0,9046;0,679996993
742;0,8997;0,676313613
742,5;0,8949;0,672705405
743;0,8898;0,668871683
743,5;0,8848;0,665113132
744;0,8798;0,661354582
744,5;0,8747;0,65752086
745;0,8696;0,653687138
745,5;0,8646;0,649928588
746;0,8595;0,646094866
746,5;0,8545;0,642336315
747;0,8494;0,638502593
747,5;0,8444;0,634744043
748;0,8393;0,630910321
748,5;0,8343;0,62715177
749;0,829;0,623167707
749,5;0,8238;0,619258814
750;0,8188;0,615500263
750,5;0,8135;0,611516199
751;0,8083;0,607607307
751,5;0,803;0,603623243
752;0,7978;0,59971435
752,5;0,7926;0,595805457
753;0,7874;0,591896565
753,5;0,7821;0,587912501
754;0,7769;0,584003608
754,5;0,7717;0,580094715
755;0,7665;0,576185823
755,5;0,7614;0,572352101
756;0,7563;0,568518379
756,5;0,7511;0,564609487
757;0,746;0,560775765
757,5;0,7407;0,556791701
758;0,7356;0,552957979
758,5;0,7305;0,549124258
759;0,7253;0,545215365
759,5;0,7201;0,541306472
760;0,715;0,537472751
760,5;0,7098;0,533563858
761;0,7047;0,529730136
761,5;0,6996;0,525896414
762;0,6945;0,522062693
762,5;0,6893;0,5181538
763;0,6841;0,514244907
763,5;0,6789;0,510336014
764;0,6738;0,506502293
764,5;0,6686;0,5025934
765;0,6634;0,498684507
765,5;0,6583;0,494850786
766;0,6532;0,491017064
766,5;0,648;0,487108171
767;0,6429;0,483274449
767,5;0,6378;0,479440728
768;0,6327;0,475607006
768,5;0,6277;0,471848455
769;0,6226;0,468014734
769,5;0,6176;0,464256183
770;0,6127;0,460572803
770,5;0,6078;0,456889423
771;0,6027;0,453055702
771,5;0,5978;0,449372322
772;0,5928;0,445613771
772,5;0,5879;0,441930392
773;0,583;0,438247012
773,5;0,5781;0,434563632
774;0,5733;0,430955424
774,5;0,5685;0,427347215
775;0,5637;0,423739006
775,5;0,5588;0,420055627
776;0,554;0,416447418
776,5;0,5492;0,412839209
777;0,5445;0,409306172
777,5;0,5397;0,405697963
778;0,5349;0,402089754
778,5;0,5302;0,398556717
779;0,5254;0,394948508
779,5;0,5207;0,39141547
