Multi Scans

Labels,Em25,Em-190,Em-78,Em100,
Type,Emission Scan,Emission Scan,Emission Scan,Emission Scan,
Comment,,,,,
Start,420.00,420.00,420.00,420.00,
Stop,700.00,700.00,700.00,700.00,
Step,1.00,1.00,1.00,1.00,
Fixed/Offset,395.00,395.00,395.00,395.00,
Xaxis,Wavelength,Wavelength,Wavelength,Wavelength,
Yaxis,Counts,Counts,Counts,Counts,
Scan Corr. by File,True,True,True,True,
Corr. by Ref. Det.,True,True,True,True,
Fixed/Offset Corr. by File,False,False,False,False,
Repeats,1,1,1,1,
Dwell Time,0.10,0.10,0.10,0.10,
Lamp,Xenon,Xenon,Xenon,Xenon,
Temp,0.00,0.00,0.00,0.00,
Scan Polariser,None,None,None,None,
Scan Slit,0.7499790,0.7499790,0.7499790,0.7499790,
Fixed/Offset Polariser,None,None,None,None,
Fixed/Offset Slit,0.99998826,0.99998826,0.99998826,0.99998826,
Detector,PMT980,PMT980,PMT980,PMT980,

575.00,2.35899703E+5,3.62275469E+5,3.48490094E+5,8.14983672E+4,
576.00,2.27036953E+5,3.48534156E+5,3.38443344E+5,8.12215234E+4,
577.00,2.21390016E+5,3.31745031E+5,3.28936625E+5,7.79218984E+4,
578.00,2.20895406E+5,3.26332094E+5,3.19892000E+5,7.64527422E+4,
579.00,2.12409813E+5,3.16630469E+5,3.14709500E+5,7.52060000E+4,
580.00,2.06474125E+5,3.05562313E+5,3.04937188E+5,7.44831016E+4,
581.00,2.00662891E+5,2.91630469E+5,2.95176094E+5,7.13685625E+4,
582.00,1.95810422E+5,2.84429250E+5,2.87293094E+5,7.05467734E+4,
583.00,1.87425891E+5,2.74609875E+5,2.80473625E+5,6.79070469E+4,
584.00,1.83140063E+5,2.67914656E+5,2.71833469E+5,6.73416016E+4,
585.00,1.77206875E+5,2.59870703E+5,2.60534969E+5,6.86015625E+4,
586.00,1.76064813E+5,2.52055016E+5,2.57687297E+5,6.37137813E+4,
587.00,1.69304406E+5,2.44920016E+5,2.53533063E+5,6.35731602E+4,
588.00,1.61266594E+5,2.34364156E+5,2.43959203E+5,6.23297148E+4,
589.00,1.58923688E+5,2.28480203E+5,2.37433219E+5,6.11342070E+4,
590.00,1.53849844E+5,2.22565219E+5,2.29315203E+5,5.69139336E+4,
591.00,1.52553484E+5,2.17294000E+5,2.29104344E+5,5.65816016E+4,
592.00,1.52450391E+5,2.14552906E+5,2.20091031E+5,5.83287188E+4,
593.00,1.42803234E+5,2.08573484E+5,2.14138875E+5,5.45626172E+4,
594.00,1.37838453E+5,2.00631313E+5,2.13903391E+5,5.39025977E+4,
595.00,1.35388484E+5,1.97150422E+5,2.07052422E+5,5.18640195E+4,
596.00,1.30715727E+5,1.94548750E+5,2.01305875E+5,5.13176016E+4,
597.00,1.27196828E+5,1.92128641E+5,1.94167438E+5,5.11164883E+4,
598.00,1.24247680E+5,1.86835734E+5,1.93413047E+5,4.96599375E+4,
599.00,1.17902813E+5,1.83501125E+5,1.90376219E+5,4.91784414E+4,
600.00,1.19299492E+5,1.80726969E+5,1.83310000E+5,4.58610391E+4,
601.00,1.14087984E+5,1.77782859E+5,1.82103844E+5,4.51191016E+4,
602.00,1.10160141E+5,1.77153000E+5,1.77643703E+5,4.46353047E+4,
603.00,1.05615969E+5,1.75147813E+5,1.70484313E+5,4.36043633E+4,
604.00,1.05764063E+5,1.72434031E+5,1.65472500E+5,4.39555703E+4,
605.00,1.00000883E+5,1.68854109E+5,1.66755469E+5,3.88094531E+4,
606.00,9.87344609E+4,1.69712156E+5,1.61273016E+5,4.22554609E+4,
607.00,9.35144688E+4,1.68444250E+5,1.59232609E+5,3.78845625E+4,
608.00,9.13772109E+4,1.65054016E+5,1.55847844E+5,3.97142188E+4,
609.00,8.93897344E+4,1.69175234E+5,1.49631172E+5,3.77867969E+4,
610.00,8.52861016E+4,1.66168031E+5,1.47801547E+5,3.54251758E+4,
611.00,8.52137266E+4,1.63537531E+5,1.44699734E+5,3.67585469E+4,
612.00,7.85769219E+4,1.64633891E+5,1.40189031E+5,3.43078633E+4,
613.00,7.83365938E+4,1.60325844E+5,1.39865188E+5,3.49743086E+4,
614.00,7.54128750E+4,1.55231875E+5,1.37846859E+5,3.13748281E+4,
615.00,7.22461328E+4,1.60350031E+5,1.36968672E+5,3.14681582E+4,
616.00,6.98430547E+4,1.58312766E+5,1.30147063E+5,3.16838203E+4,
617.00,6.80886875E+4,1.56955016E+5,1.28224227E+5,3.12409922E+4,
618.00,6.65319844E+4,1.56436094E+5,1.29818047E+5,2.95616855E+4,
619.00,6.59337891E+4,1.56800422E+5,1.25435023E+5,2.92636836E+4,
620.00,6.39144727E+4,1.50054172E+5,1.23321234E+5,2.82960684E+4,
621.00,6.07248359E+4,1.50327109E+5,1.22678359E+5,2.76666934E+4,
622.00,5.99257461E+4,1.49225672E+5,1.15798977E+5,2.70864336E+4,
623.00,5.68263359E+4,1.52403219E+5,1.16256047E+5,2.59081953E+4,
624.00,5.45966563E+4,1.46759734E+5,1.15009852E+5,2.55326738E+4,
625.00,5.14153125E+4,1.47704578E+5,1.09333844E+5,2.34556230E+4,
626.00,5.23096289E+4,1.47544156E+5,1.09054266E+5,2.44897344E+4,
627.00,5.05897617E+4,1.43713125E+5,1.05160945E+5,2.24019336E+4,
628.00,4.70392461E+4,1.39035875E+5,1.03950461E+5,2.20315020E+4,
629.00,4.80946523E+4,1.37810781E+5,1.02103656E+5,2.33916621E+4,
630.00,4.43490469E+4,1.38462625E+5,9.98330469E+4,1.97431426E+4,
631.00,4.45603555E+4,1.33623094E+5,9.63451172E+4,2.16985508E+4,
632.00,4.55571992E+4,1.30870438E+5,9.17495625E+4,2.07550918E+4,
633.00,4.28406133E+4,1.28633297E+5,9.29153984E+4,1.94405586E+4,
634.00,3.92307109E+4,1.27812445E+5,9.16802188E+4,2.04598223E+4,
635.00,3.96957305E+4,1.28335219E+5,8.91309375E+4,1.92980742E+4,
636.00,3.74667500E+4,1.22081703E+5,9.05236172E+4,1.90240313E+4,
637.00,3.76198242E+4,1.22042656E+5,8.40145938E+4,1.88207207E+4,
638.00,3.63777188E+4,1.19411305E+5,8.08026484E+4,1.81814453E+4,
639.00,3.35831211E+4,1.15050258E+5,8.02244297E+4,1.72006777E+4,
640.00,3.34165625E+4,1.15606438E+5,8.01231641E+4,1.72417148E+4,
641.00,3.14619336E+4,1.09964992E+5,7.63198750E+4,1.58895645E+4,
642.00,3.10021406E+4,1.09647953E+5,7.43617734E+4,1.57068848E+4,
643.00,3.13395820E+4,1.02735055E+5,7.34626797E+4,1.49797090E+4,
644.00,2.87514512E+4,1.02807766E+5,7.10443047E+4,1.53091748E+4,
645.00,2.97960332E+4,9.67596016E+4,7.01039375E+4,1.38159727E+4,
646.00,2.65160352E+4,9.35491406E+4,6.64706953E+4,1.38306025E+4,
647.00,2.51804316E+4,9.69175859E+4,6.27060000E+4,1.51847656E+4,
648.00,2.53758125E+4,8.98934609E+4,6.14984023E+4,1.28675879E+4,
649.00,2.53759824E+4,8.96473359E+4,6.30976523E+4,1.29519795E+4,
650.00,2.42738438E+4,8.65206406E+4,6.05554297E+4,1.24737979E+4,
651.00,2.32341816E+4,8.10847422E+4,5.78053711E+4,1.23113555E+4,
652.00,2.40426348E+4,7.73135781E+4,5.82420508E+4,1.18401504E+4,
653.00,2.24045195E+4,7.77505234E+4,5.32530586E+4,9.19374023E+3,
654.00,2.17451660E+4,7.61566875E+4,5.28421992E+4,1.23056846E+4,
655.00,2.10538457E+4,7.43430938E+4,5.29732422E+4,1.01977920E+4,
656.00,2.04046484E+4,7.02617266E+4,5.01329102E+4,9.91456152E+3,
657.00,2.00452539E+4,7.00250625E+4,4.85202266E+4,1.07333594E+4,
658.00,1.89640039E+4,6.73892188E+4,4.59225000E+4,9.82595313E+3,
659.00,1.79625938E+4,6.14057148E+4,4.25877773E+4,1.00035645E+4,
660.00,1.79778242E+4,6.51524414E+4,4.72946875E+4,1.05970586E+4,
661.00,1.64862520E+4,6.07395781E+4,4.17269297E+4,9.11903711E+3,
662.00,1.74221875E+4,5.95142500E+4,4.05680625E+4,8.64819336E+3,
663.00,1.53101631E+4,5.39383945E+4,4.34456641E+4,7.78121631E+3,
664.00,1.52000439E+4,5.30314219E+4,4.40604180E+4,9.47156641E+3,
665.00,1.34070811E+4,5.28632578E+4,3.72178477E+4,9.91812793E+3,
666.00,1.43926143E+4,5.00675898E+4,3.68796875E+4,8.53029199E+3,
667.00,1.41514473E+4,4.70726406E+4,3.24167500E+4,7.47814648E+3,
668.00,1.38338223E+4,4.38968672E+4,3.48379961E+4,7.28677051E+3,
669.00,1.45703926E+4,4.34351367E+4,3.12832363E+4,7.60771680E+3,
670.00,1.37590420E+4,4.32972969E+4,3.02112715E+4,7.91584180E+3,
671.00,1.27322061E+4,4.06591523E+4,2.85125078E+4,7.89881885E+3,
672.00,1.26082051E+4,3.90717773E+4,2.88295547E+4,6.22102637E+3,
673.00,1.26828281E+4,3.61037773E+4,2.79169277E+4,6.92852344E+3,
674.00,1.19985225E+4,3.63288828E+4,2.71818008E+4,6.17307520E+3,
675.00,1.11644678E+4,3.48287227E+4,2.71636289E+4,6.28523340E+3,
676.00,1.01886152E+4,3.21952402E+4,2.62829609E+4,6.71731543E+3,
677.00,1.01169717E+4,3.00650234E+4,2.45440195E+4,6.91013770E+3,
678.00,9.33043652E+3,3.13800195E+4,2.15911602E+4,4.72674756E+3,
679.00,9.22560156E+3,2.93391992E+4,2.19765430E+4,6.49563818E+3,
680.00,1.05332451E+4,2.86019883E+4,2.22950469E+4,6.26321191E+3,
681.00,9.52637109E+3,2.77971055E+4,2.13470840E+4,6.77460400E+3,
682.00,9.04753125E+3,2.70674727E+4,1.99114863E+4,6.09076416E+3,
683.00,8.74251270E+3,2.38441523E+4,2.07612168E+4,5.22202734E+3,
